iter	Passed	Remaining
233	4018	13153
234	4038	13145
235	4056	13131
236	4072	13111
237	4089	13093
238	4107	13077
239	4124	13061
240	4142	13046
241	4161	13035
242	4181	13025
243	4199	13012
244	4217	12997
245	4234	12978
246	4251	12962
247	4268	12941
248	4285	12925
249	4302	12907
250	4319	12889
251	4336	12871
252	4353	12852
253	4371	12838
254	4390	12825
255	4408	12811
256	4424	12792
257	4441	12772
258	4459	12760
259	4477	12744
260	4496	12732
261	4515	12720
262	4534	12706
263	4553	12695
264	4571	12679
265	4590	12668
266	4610	12657
267	4631	12649
268	4648	12632
269	4668	12622
270	4686	12606
271	4704	12590
272	4721	12573
273	4740	12559
274	4758	12545
275	4775	12526
276	4795	12517
277	4813	12502
278	4832	12487
279	4848	12468
280	4867	12453
281	4884	12437
282	4904	12425
283	4921	12406
284	4939	12392
285	4957	12375
286	4973	12356
287	4991	12340
288	5008	12321
289	5025	12304
290	5045	12292
291	5063	12277
292	5083	12266
293	5102	12253
294	5118	12233
295	5136	12215
296	5154	12199
297	5172	12185
298	5192	12173
299	5211	12160
300	5229	12144
301	5246	12126
302	5265	12113
303	5284	12098
304	5305	12088
305	5324	12075
306	5341	12057
307	5362	12048
308	5383	12039
309	5402	12025
310	5424	12017
311	5446	12010
312	5468	12001
313	5489	11993
314	5510	11982
315	5529	11967
316	5547	11952
317	5568	11942
318	5586	11925
319	5603	11908
320	5623	11896
321	5642	11881
322	5662	11869
323	5683	11857
324	5702	11844
325	5721	11829
326	5738	11810
327	5758	11797
328	5778	11784
329	5797	11770
330	5817	11757
331	5837	11745
332	5857	11733
333	5877	11720
334	5895	11702
335	5913	11686
336	5934	11674
337	5952	11658
338	5969	11640
339	5987	11623
340	6006	11607
341	6026	11594
342	6047	11583
343	6065	11566
344	6086	11555
345	6106	11541
346	6125	11526
347	6143	11510
348	6164	11498
349	6187	11490
350	6209	11480
351	6230	11469
352	6251	11458
353	6271	11445
354	6293	11434
355	6314	11423
356	6339	11417
357	6360	11406
358	6383	11397
359	6403	11384
360	6424	11372
361	6444	11357
362	6464	11343
363	6483	11328
364	6506	11319
365	6528	11308
366	6547	11293
367	6568	11280
368	6588	11266
369	6609	11254
370	6628	11238
371	6647	11222
372	6670	11212
373	6689	11196
374	6708	11181
375	6727	11163
376	6745	11146
377	6764	11131
378	6784	11116
379	6804	11101
380	6822	11085
381	6841	11068
382	6861	11052
383	6881	11039
384	6901	11024
385	6919	11006
386	6935	10986
387	6954	10969
388	6976	10957
389	6995	10942
390	7016	10928
391	7034	10910
392	7055	10897
393	7075	10883
394	7093	10863
395	7110	10845
396	7129	10828
397	7149	10813
398	7169	10799
399	7189	10784
400	7207	10766
401	7225	10748
402	7244	10732
403	7262	10713
404	7278	10692
405	7295	10673
406	7314	10656
407	7332	10639
408	7351	10622
409	7369	10604
410	7386	10585
411	7405	10569
412	7424	10552
413	7443	10536
414	7463	10520
415	7483	10505
416	7502	10488
417	7521	10472
418	7540	10456
419	7559	10439
420	7579	10423
421	7597	10405
422	7615	10388
423	7633	10369
424	7652	10354
425	7672	10338
426	7693	10324
427	7711	10306
428	7732	10292
429	7752	10276
430	7773	10262
431	7794	10247
432	7811	10229
433	7832	10214
434	7853	10200
435	7873	10184
436	7891	10166
437	7909	10148
438	7929	10133
439	7950	10118
440	7968	10101
441	7989	10086
442	8009	10070
443	8027	10052
444	8045	10033
445	8063	10016
446	8081	9997
447	8102	9982
448	8120	9965
449	8140	9949
450	8160	9933
451	8179	9916
452	8198	9900
453	8216	9881
454	8236	9865
455	8253	9845
456	8271	9828
457	8292	9812
458	8311	9796
459	8329	9778
460	8348	9761
461	8369	9746
462	8386	9727
463	8408	9713
464	8429	9698
465	8449	9682
466	8468	9665
467	8488	9649
468	8507	9632
469	8529	9618
470	8547	9600
471	8567	9583
472	8585	9565
473	8604	9548
474	8625	9533
475	8645	9517
476	8664	9500
477	8683	9483
478	8702	9465
479	8721	9448
480	8741	9432
481	8759	9413
482	8777	9395
483	8797	9379
484	8816	9361
485	8837	9346
486	8854	9327
487	8873	9310
488	8894	9294
489	8914	9278
490	8933	9261
491	8951	9242
492	8969	9224
493	8988	9207
494	9006	9188
495	9025	9170
496	9045	9154
497	9067	9139
498	9087	9123
499	9105	9105
500	9123	9087
501	9143	9070
502	9162	9053
503	9183	9038
504	9201	9018
505	9221	9002
506	9239	8984
507	9258	8966
508	9278	8950
509	9296	8932
510	9316	8915
511	9335	8897
512	9354	8880
513	9372	8861
514	9391	8844
515	9410	8827
516	9430	8809
517	9450	8793
518	9470	8777
519	9493	8763
520	9512	8745
521	9531	8727
522	9551	8711
523	9569	8692
524	9588	8675
525	9609	8659
526	9629	8643
527	9652	8628
528	9672	8612
529	9696	8599
530	9719	8584
531	9743	8571
532	9767	8557
533	9793	8546
534	9816	8532
535	9838	8516
536	9859	8500
537	9884	8488
538	9907	8473
539	9934	8462
540	9963	8452
541	9987	8439
542	10012	8426
543	10037	8413
544	10059	8398
545	10083	8384
546	10107	8370
547	10132	8357
548	10156	8343
549	10183	8331
550	10207	8318
551	10233	8305
552	10256	8290
553	10280	8276
554	10303	8261
555	10329	8248
556	10353	8234
557	10378	8220
558	10401	8205
559	10424	8190
560	10448	8176
561	10471	8161
562	10494	8145
563	10520	8132
564	10546	8119
565	10569	8104
566	10592	8089
567	10617	8075
568	10641	8060
569	10666	8046
570	10690	8031
571	10714	8017
572	10739	8002
573	10762	7987
574	10788	7974
575	10811	7958
576	10832	7941
577	10857	7927
578	10880	7911
579	10903	7895
580	10924	7878
581	10947	7862
582	10969	7845
583	10993	7830
584	11017	7815
585	11040	7799
586	11062	7783
587	11085	7767
588	11110	7752
589	11135	7737
590	11159	7722
591	11185	7708
592	11209	7693
593	11234	7678
594	11260	7664
595	11285	7649
596	11310	7634
597	11336	7620
598	11359	7604
599	11385	7590
600	11408	7573
601	11432	7558
602	11456	7542
603	11479	7526
604	11504	7511
605	11531	7497
606	11556	7482
607	11578	7465
608	11602	7448
609	11625	7432
610	11649	7416
611	11674	7401
612	11700	7386
613	11724	7370
614	11749	7355
615	11774	7340
616	11799	7324
617	11821	7307
618	11844	7290
619	11869	7274
620	11895	7259
621	11919	7243
622	11944	7227
623	11967	7211
624	11991	7194
625	12016	7179
626	12040	7162
627	12065	7146
628	12089	7130
629	12112	7113
630	12135	7096
631	12160	7080
632	12184	7064
633	12207	7047
634	12229	7029
635	12254	7013
636	12275	6995
637	12299	6978
638	12323	6961
639	12346	6945
640	12367	6926
641	12387	6907
642	12408	6889
643	12431	6871
644	12456	6855
645	12479	6838
646	12503	6822
647	12528	6805
648	12552	6788
649	12577	6772
650	12600	6755
651	12625	6738
652	12651	6722
653	12675	6706
654	12702	6690
655	12728	6674
656	12752	6657
657	12774	6639
658	12797	6622
659	12823	6605
660	12844	6587
661	12866	6569
662	12891	6552
663	12915	6535
664	12939	6518
665	12964	6501
666	12988	6484
667	13012	6467
668	13037	6450
669	13061	6433
670	13085	6416
671	13108	6398
672	13131	6380
673	13155	6363
674	13177	6344
675	13199	6326
676	13221	6307
677	13246	6290
678	13270	6273
679	13294	6256
680	13316	6237
681	13339	6220
682	13364	6202
683	13386	6184
684	13411	6167
685	13435	6149
686	13460	6132
687	13485	6115
688	13508	6097
689	13532	6080
690	13559	6063
691	13582	6045
692	13607	6028
693	13633	6011
694	13658	5994
695	13682	5976
696	13710	5960
697	13734	5942
698	13758	5924
699	13782	5906
700	13807	5889
701	13830	5870
702	13853	5852
703	13877	5834
704	13901	5816
705	13925	5798
706	13948	5780
707	13971	5762
708	13995	5744
709	14016	5725
710	14040	5706
711	14061	5687
712	14084	5669
713	14110	5652
714	14134	5633
715	14159	5616
716	14185	5598
717	14208	5580
718	14229	5561
719	14252	5542
720	14275	5524
721	14299	5505
722	14321	5486
723	14344	5468
724	14366	5449
725	14388	5430
726	14413	5412
727	14436	5393
728	14461	5375
729	14484	5357
730	14508	5339
731	14532	5320
732	14558	5302
733	14583	5285
734	14606	5266
735	14630	5247
736	14654	5229
737	14679	5211
738	14704	5193
739	14729	5175
740	14753	5156
741	14778	5138
742	14801	5119
743	14824	5100
744	14845	5081
745	14870	5063
746	14892	5043
747	14913	5024
748	14939	5006
749	14964	4988
750	14986	4968
751	15009	4949
752	15034	4931
753	15058	4912
754	15081	4893
755	15101	4874
756	15123	4854
757	15148	4836
758	15173	4817
759	15198	4799
760	15222	4780
761	15246	4762
762	15269	4742
763	15293	4724
764	15317	4705
765	15340	4686
766	15365	4667
767	15388	4648
768	15412	4629
769	15435	4610
770	15460	4592
771	15484	4573
772	15505	4553
773	15527	4533
774	15553	4515
775	15577	4496
776	15602	4477
777	15625	4458
778	15647	4439
779	15672	4420
780	15697	4401
781	15719	4382
782	15741	4362
783	15764	4343
784	15788	4324
785	15812	4305
786	15836	4286
787	15859	4266
788	15881	4247
789	15906	4228
790	15929	4208
791	15949	4188
792	15969	4168
793	15992	4149
794	16014	4129
795	16038	4110
796	16061	4090
797	16085	4071
798	16110	4052
799	16134	4033
800	16158	4014
801	16179	3994
802	16200	3974
803	16222	3954
804	16245	3935
805	16268	3915
806	16289	3895
807	16313	3876
808	16335	3856
809	16359	3837
810	16383	3818
811	16406	3798
812	16428	3778
813	16450	3758
814	16475	3739
815	16496	3719
816	16519	3700
817	16545	3681
818	16570	3662
819	16595	3642
820	16621	3623
821	16648	3605
822	16672	3585
823	16698	3566
824	16722	3547
825	16746	3527
826	16769	3508
827	16794	3488
828	16818	3469
829	16841	3449
830	16864	3429
831	16887	3409
832	16909	3390
833	16933	3370
834	16957	3350
835	16981	3331
836	17002	3311
837	17026	3291
838	17047	3271
839	17071	3251
840	17094	3231
841	17118	3212
842	17142	3192
843	17165	3172
844	17189	3153
845	17213	3133
846	17235	3113
847	17261	3093
848	17286	3074
849	17310	3054
850	17335	3035
851	17360	3015
852	17385	2996
853	17407	2975
854	17432	2956
855	17456	2936
856	17477	2916
857	17501	2896
858	17524	2876
859	17550	2856
860	17573	2837
861	17597	2817
862	17622	2797
863	17645	2777
864	17670	2757
865	17694	2737
866	17719	2718
867	17741	2698
868	17765	2678
869	17789	2658
870	17813	2638
871	17838	2618
872	17861	2598
873	17884	2578
874	17907	2558
875	17931	2538
876	17957	2518
877	17980	2498
878	18004	2478
879	18029	2458
880	18052	2438
881	18075	2418
882	18099	2398
883	18125	2378
884	18146	2358
885	18169	2337
886	18193	2317
887	18216	2297
888	18239	2277
889	18262	2257
890	18283	2236
891	18306	2216
892	18331	2196
893	18356	2176
894	18379	2156
895	18401	2135
896	18424	2115
897	18447	2095
898	18468	2074
899	18493	2054
900	18514	2034
901	18537	2014
902	18563	1994
903	18587	1973
904	18612	1953
905	18635	1933
906	18659	1913
907	18684	1893
908	18709	1872
909	18734	1852
910	18756	1832
911	18779	1812
912	18802	1791
913	18826	1771
914	18850	1751
915	18874	1730
916	18898	1710
917	18921	1690
918	18945	1669
919	18968	1649
920	18991	1629
921	19016	1608
922	19040	1588
923	19064	1568
924	19088	1547
925	19110	1527
926	19134	1506
927	19157	1486
928	19179	1465
929	19202	1445
930	19225	1424
931	19248	1404
932	19271	1383
933	19294	1363
934	19318	1342
935	19339	1322
936	19364	1301
937	19387	1281
938	19409	1260
939	19433	1240
940	19458	1220
941	19479	1199
942	19503	1178
943	19526	1158
944	19547	1137
945	19574	1117
946	19597	1096
947	19619	1076
948	19643	1055
949	19667	1035
950	19688	1014
951	19714	993
952	19737	973
953	19763	952
954	19788	932
955	19811	911
956	19836	891
957	19859	870
958	19882	850
959	19904	829
960	19929	808
961	19954	788
962	19978	767
963	20002	746
964	20024	726
965	20048	705
966	20071	684
967	20096	664
968	20121	643
969	20144	623
970	20168	602
971	20190	581
972	20214	560
973	20238	540
974	20262	519
975	20287	498
976	20309	478
977	20332	457
978	20358	436
979	20380	415
980	20403	395
981	20428	374
982	20449	353
983	20473	332
984	20497	312
985	20518	291
986	20541	270
987	20565	249
988	20589	228
989	20614	208
990	20638	187
991	20662	166
992	20687	145
993	20711	125
994	20733	104
995	20757	83
996	20781	62
997	20806	41
998	20830	20
999	20853	0
